,time_stamp,text,HASHTAG,count_hashtag
0,2018-11-28,贺建奎现身香港，亲口承认“基因编辑婴儿”已出生  @LINK …,[],0
1,2018-11-28,中国人对于基因编辑的理解（包括技术上的和伦理上的），还停留在和“发明一个电动的切面条的小装置，然后给它扣上一个塑料的卡通人形壳子，这就是我发明的机器人了”一个水平上  @LINK …,[],0
2,2018-11-28,我塘的福利处女都是基因编辑过的，没姨妈。一点都不浪费！,[],0
3,2018-11-28,1. 全世界的道德君子都在谴责他，估计他是很难再做了，对他自己来说最大的错误是不应该公开。道德只是社会层面的事，在一个房子里做的事，不说谁也不知道，这时道德就是随手扔的垃圾，唯一的依据就是顺从自然规律。基因编辑尽管有风险，但是前景美好。,[],0
4,2018-11-28,基因编辑，未来一定会让很多传统医疗系统的从业人员遭到冲击，甚至保险行业，殡葬行业等等，都会遭到冲击，我们有理由怀疑，很多以冠冕堂皇的理由反对的声音里，有出自这部分数目异常庞大的人群不可告人的目的。,[],0
5,2018-11-28,基因编辑实验后贺建奎现身 称为实验“自豪”  @LINK …,[],0
6,2018-11-28,当今中国科技界最大的虚伪骗子，不是那个人类基因编辑贺某，而是所谓的杂交水稻种植的袁隆平！@MENTION @MENTION @MENTION,[],0
7,2018-11-28,美国NIH指责中国生物学家实施人类基因编辑不负责任  @LINK  pic.twitter.com/RPub5ovdtL,[],0
8,2018-11-28,美国NIH指责中国生物学家实施人类基因编辑不负责任  @LINK  pic.twitter.com/pQDMBwzGCt,[],0
9,2018-11-28,美国NIH指责中国生物学家实施人类基因编辑不负责任  @LINK  pic.twitter.com/A5FzpIJejM,[],0
10,2018-11-28,美国NIH指责中国生物学家实施人类基因编辑不负责任  @LINK  pic.twitter.com/gFezOu5jVP,[],0
11,2018-11-28,袁腾飞聊基因编辑婴儿:法律伦理全然不顾  前沿科技应有底线  @LINK ,[],0
12,2018-11-28,美国NIH指责中国生物学家实施人类基因编辑不负责任  @LINK  pic.twitter.com/CVmcS8A1br,[],0
13,2018-11-28,我顶了一个 @MENTION 视频  @LINK  袁腾飞聊基因编辑婴儿:法律伦理全然不顾,[],0
14,2018-11-28,其实很多事情，比如转基因、基因编辑婴儿，整个都可以用风险理论去考虑解释问题。   @LINK …,[],0
15,2018-11-28,美国NIH指责中国生物学家实施人类基因编辑不负责任  @LINK  pic.twitter.com/k2RhlKFPhB,[],0
16,2018-11-28,竹新社消息：第二届国际人类基因组编辑峰会发表声明表示，第二届峰会的组织委员会一方面为体细胞基因编辑进入临床试验阶段的飞速突破而喝彩，另一方面则继续认为任何将生殖系编辑引入临床应用的举措在目前仍是不负责任的。原文链接： @LINK …,[],0
17,2018-11-28,贺建奎香港现身 学者问答揭基因编辑有“脱靶”(组图): 内地学者贺建奎声称成功利用基因编辑技术，令一对双胞胎女婴对爱滋病免疫，令全球哗然。他昨日现身香港一个学术论坛，面对来自世界各地…  @LINK ,[],0
18,2018-11-28,加一个：基因编辑儿童，生下来就会背党章。,[],0
19,2018-11-28,贺建奎香港现身 学者问答揭基因编辑有“脱靶”(组图)  @LINK … 三退  @LINK  神韵巡演 @LINK ,[],0
20,2018-11-28,“基因编辑婴儿”的后果最严重也就是让婴儿以及其可能的后代受到没必要的伤害，又不是制造出来什么怪物，还能有什么后果“不堪设想”？这些官媒除了耸人听闻吓唬人，会不会干点正事？  pic.twitter.com/0CbfrPHM5O,[],0
21,2018-11-28,你是基因编辑来的吧 比外国人都大,[],0
22,2018-11-28,习近平治下，尽管经济越来越差，但中国变得越来越疯狂。贺建奎的“基因编辑婴儿”挑战全世界道德底线，遭全球批评。其实，这并不中国第一次在这个领域的疯狂，2015年中山大学黄军就利用美国基因编程技术CRISPR/Cas9修改了人类胚胎β珠蛋白基因。此举受到全球科学家的强烈抗议和批评。 摘  pic.twitter.com/plZU2EGrLN,[],0
23,2018-11-28,"#InfoAggregator:  刘润：比基因编辑更可怕的，是社会达尔文主义重新抬头: 昨天我们发布了关于基因编辑的文章，我个人觉得有必要再说一下关于历史上""人类对生前的基因选择…  @LINK ",['INFOAGGREGATOR'],1
24,2018-11-28,贺建奎没有医师资格 根本没资格进行“基因编辑婴儿”的人体试验 如果贺是私自筹集经费进行研究 1应该被南科大开除 2应该被中共以司法制裁 3还应被试验对象起诉求偿巨额赔款  但目前根本看不到这方面处罚迹象 说明背后是政府在撑腰  贺的问题是 不小心泄露了国家机密 这才是他要面对的 也是他最大的麻烦  @LINK …,[],0
25,2018-11-28,首个基因编辑婴儿引风暴 将带来5大可怕后果  @LINK ,[],0
26,2018-11-28,首个基因编辑婴儿引风暴 将带来5大可怕后果  @LINK … 神韵  @LINK …,[],0
