1069979097722277890,B4L5Kp153vNgP8D,2018-12-04 15:37:50,"沒有人會想要身邊隨時抱著不定時炸彈
#MeToo
https://t.co/zIhsAOKGxD"
1069863542377967616,jamieeeey,2018-12-04 07:58:40,"一次同窗朋友生日聚會舉辦在某位的學生宿舍中
當晚大家有志一同都帶了威士忌
酒過三巡，而遊戲怎麼玩怎麼輸
喝了有點多
忍住喉間的不適感，我往走廊另一方的廁所去
而他尾隨了我也進了廁所
#MeToo 
#從此看到威士忌就反胃"
1069449548777644033,KangPS,2018-12-03 04:33:36,"本官宣判：

　衣著性感，深夜外出，
　雖口口聲聲說：No means no!
　但顯然隱晦地確認同意與對方發生關係！

　退堂！

#MeToo! https://t.co/mIfoXmBC26"
1069449490023759872,KangPS,2018-12-03 04:33:22,"本官宣判：

　衣著性感，深夜外出，
　雖口口聲聲說：No means no!
　但顯然隱晦地確認同意與對方發生關係！

　退堂！

#MeToo! https://t.co/DIVL7MGl4O"
1069206359353188352,dictionarzicef1,2018-12-02 12:27:15,RT @gijnCh 【职场性骚扰调查报告】今年， #Metoo 运动轰轰烈烈地开展。8月，我国民法典草案增加了禁止性骚扰的条款。与此同时，在一些曝光了的职场性骚扰案例中，很多用人单位的回应令人失望。目前我国职场性骚扰状况如何？用人单位在反性骚扰方面的… https://t.co/ZBdpnVT8LW
1069191962945818624,gijnCh,2018-12-02 11:30:03,【职场性骚扰调查报告】今年， #Metoo 运动轰轰烈烈地开展。8月，我国民法典草案增加了禁止性骚扰的条款。与此同时，在一些曝光了的职场性骚扰案例中，很多用人单位的回应令人失望。目前我国职场性骚扰状况如何？用人单位在反性骚扰方面的… https://t.co/ZBdpnVT8LW
1068354211149037568,cwy1104,2018-11-30 04:01:07,RT @chilichu 「#MeToo 風潮蔓延全世界，實際感受到以女性的性概念相關訊息的機會增加了。現在能感受到女性所處的環境比在「少女時代」活動時候改善很多了。現在最在乎包括自己在內的女性該擁有什麼或應該做什麼。我努力的原動力來自於抱持著自信及感受自… https://t.co/lmEgoSvOb3
1068346229837287426,lunhsieh,2018-11-30 03:29:24,RT @chilichu 「#MeToo 風潮蔓延全世界，實際感受到以女性的性概念相關訊息的機會增加了。現在能感受到女性所處的環境比在「少女時代」活動時候改善很多了。現在最在乎包括自己在內的女性該擁有什麼或應該做什麼。我努力的原動力來自於抱持著自信及感受自… https://t.co/lmEgoSvOb3
1068332437770366978,SYunhuang,2018-11-30 02:34:36,RT @chilichu 「#MeToo 風潮蔓延全世界，實際感受到以女性的性概念相關訊息的機會增加了。現在能感受到女性所處的環境比在「少女時代」活動時候改善很多了。現在最在乎包括自己在內的女性該擁有什麼或應該做什麼。我努力的原動力來自於抱持著自信及感受自… https://t.co/lmEgoSvOb3
1068320314713505792,SoneReigns,2018-11-30 01:46:26,RT @chilichu 「#MeToo 風潮蔓延全世界，實際感受到以女性的性概念相關訊息的機會增加了。現在能感受到女性所處的環境比在「少女時代」活動時候改善很多了。現在最在乎包括自己在內的女性該擁有什麼或應該做什麼。我努力的原動力來自於抱持著自信及感受自… https://t.co/lmEgoSvOb3
